,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
28,453573290,174.0,Gucci Signature GG jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/1b/3d/1b3d1973841ae658fa38ca4ed87af567_best.jpg,"<ul><li>Charcoal-grey, dark-brown, black and beige GG-jacquard, silk</li><li>Dark-brown GG-jacquard lining </li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
29,461789622,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/c6/9e/c69eee154a07f032c3bcc33b44c8f085_best.jpg,Men's red and multicolor Hermès silk printed tie with logo at end.,TheRealReal,_print,_silk,False
30,461954485,75.0,Salvatore Ferragamo Tie,1948,Salvatore Ferragamo,http://bim.shopstyle.com/pim/8d/09/8d097358e2e23849776f5c7c7e66e3f3_best.jpg,Men's Salvatore Ferragamo silk necktie with bubble fish motif.,TheRealReal,unknown,_silk,False
31,449957019,133.94,Burberry London polka dot tie,870,Burberry,http://bim.shopstyle.com/pim/ec/66/ec66d025427dad956ee84cc5adb61abf_best.jpg,White silk tie from Burberry London featuring a pointed tip and a white polka dot embellishment.,farfetch.com,_polkadot,_silk,False
32,461377423,161.0,Burberry London Wide-stripe silk tie,870,Burberry,http://bim.shopstyle.com/pim/ea/5f/ea5f79e3808d30035e46265765485376_best.jpg,"<ul><li>Navy, teal-blue and burgundy wide diagonal stripes, silk</li><li>Cornflower-blue embroidered logo</li><li>100% silk. </li><li>Dry clean </li><li>Country of origin: UK</li></ul>",MATCHESFASHION.COM,_striped,_silk,False
33,459136615,230.0,Brioni Scarf Paisley Silk Tie,859,Brioni,http://bim.shopstyle.com/pim/2c/02/2c0296b5cfb325d61c6188de217d25ca_best.jpg,<ul><li>Brioni printed silk paisley tie.</li><li>Made in Italy.</li></ul>,Neiman Marcus,_print,_silk,False
34,453636775,180.0,Alexander McQueen Black Skull & Polka Dot Bow-Tie,689,Alexander McQueen,http://bim.shopstyle.com/pim/38/76/3876e721ae7245501622cbeb16f3f291_best.jpg,"Adjustable pre-tied silk bow-tie in black. Pin-dot and signature skull prints throughout in light grey. Hook-eye closure at back. Tonal stitching. Approx. 15"" length. 100% silk. Made in Italy",SSENSE,_print,_silk,False
36,452440837,185.0,Thom Browne Navy & Red Jacquard Bear Tie,25337,Thom Browne,http://bim.shopstyle.com/pim/d4/ea/d4eaf2919e4f947b3daffdb46d495563_best.jpg,"Silk tie in navy blue. Check effect throughout in white and periwinkle blue. Jacquard bear features in red gingham pattern throughout. Tonal stitching. Approx. 54"" length, 2.5"" width. 100% silk. Made in United States",SSENSE,unknown,_silk,False
37,436980112,90.2,Salvatore Ferragamo Vintage textured tie,1948,Salvatore Ferragamo,http://bim.shopstyle.com/pim/b1/70/b170bdc8fd10a806f595a34252768e80_best.jpg,Red silk tie from Salvatore Ferragamo featuring a geometric texture. Please note that vintage items are not new and therefore might have minor imperfections.,farfetch.com,unknown,_silk,False
38,462309825,105.01,Hermès Vintage logo print tie,1274,Hermes,http://bim.shopstyle.com/pim/02/9f/029f9cee5fda030144af5b4aa07a1012_best.jpg,Black and white silk logo print tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections.,farfetch.com,_print,_silk,False
39,436981231,90.2,Salvatore Ferragamo Vintage patterned tie,1948,Salvatore Ferragamo,http://bim.shopstyle.com/pim/f6/c4/f6c4cb7ce823965580e7baec7cc933e2_best.jpg,Navy blue silk tie from Salvatore Ferragamo featuring a red and yellow geometrical pattern. Please note that vintage items are not new and therefore might have minor imperfections.,farfetch.com,unknown,_silk,False
40,461789609,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/41/ec/41ec2b1cc78f16fe0a09b400b4ca0499_best.jpg,Men's red and multicolor Hermès silk tie with paisley print.,TheRealReal,_print,_silk,False
41,461793076,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/40/b7/40b7531eba0c548219cfe954e452b3a2_best.jpg,"Men's steel blue, aqua and multicolor Hermès silk necktie with fish motif.",TheRealReal,unknown,_silk,False
42,458360440,150.02,Gucci printed tie,1242,Gucci,http://bim.shopstyle.com/pim/6b/c6/6bc6249f438d9e8af298bfebb425e879_best.jpg,Blue silk printed tie from Gucci featuring branded rear patch and a printed logo to the rear.,farfetch.com,_print,_silk,False
43,462379466,275.0,"Ermenegildo Zegna Quindici Paisley-Print Silk Tie, Turquoise",1139,Ermenegildo Zegna,http://bim.shopstyle.com/pim/60/8c/608c06cff416e687a10b4b216a754cde_best.jpg,"<ul><li>Printed silk.</li><li>The tail end of a Quindici tie features its hallmark: the actual screen rotation used to finish each and every design.</li><li>3 1/2"" at widest.</li><li>Dry clean.</li><li>Made in Italy.</li></ul>",Neiman Marcus,unknown,_silk,False
44,461445766,230.0,"Brioni Woven Iridescent Microneat Tie, Blue",859,Brioni,http://bim.shopstyle.com/pim/fe/4e/fe4ead8877c1aa92f556b3c8338db6e7_best.jpg,"<ul><li>Brioni blue silk tie with woven iridescent microneat pattern.</li><li>Approx. 3""W.</li><li>Made in Italy. </li></ul>",Neiman Marcus,unknown,_silk,False
49,215095525,65.0,English silk tie in mercury grey stripe,284,J.Crew,http://bim.shopstyle.com/pim/38/10/38101601a24abc150874838f0e92b56f_best.jpg,"Sometimes you want to wear a tie even when you don't have to. This one is made from English silk and sports a classic stripe (there's a reason stripes never go out of style). Fun fact: It's hand-finished in NYC's Long Island City. <ul> <li>2 1/2"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>",J.Crew,_striped,_silk,False
52,463500474,15.0,The Tie Bar 'Grenafaux' Silk Tie,30134,The Tie Bar,http://bim.shopstyle.com/pim/20/d7/20d732de236a5d844b9bb3fda5675fda_best.jpg,"Fine Churchill dots mark a well-textured tie cut from pure silk. <ul> <li>2 1/2"" width; 58"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By The Tie Bar; imported.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,unknown,_silk,False
53,461789733,75.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/74/b2/74b27cb34e3311be86ff76fe60d90c4a_best.jpg,Men's yellow and multicolor Hermès silk printed tie with logo at end.,TheRealReal,_print,_silk,False
54,462481298,95.0,Gucci Tie,1242,Gucci,http://bim.shopstyle.com/pim/c8/e0/c8e022939aa0881b659ce576c5484392_best.jpg,"Men's navy, cobalt and multicolor Gucci silk necktie with geometric print and G logo throughout.",TheRealReal,_print,_silk,False
55,449857254,162.61,Brioni patterned tie,859,Brioni,http://bim.shopstyle.com/pim/64/de/64de36225e826626607fd1f28732e681_best.jpg,Red and black silk patterned tie from Brioni featuring a pointed tip and an internal logo patch.,farfetch.com,unknown,_silk,False
56,444127831,124.19,Hermès Vintage patterned tie,1274,Hermes,http://bim.shopstyle.com/pim/0f/a9/0fa91d6380954b9e7ed04d2f64f80588_best.jpg,Blue silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size.,farfetch.com,_print,_silk,False
57,458508060,133.94,Burberry London 'Nova check' pointed tip tie,870,Burberry,http://bim.shopstyle.com/pim/c7/c5/c7c5c5381141d87a5ae20e15143944d8_best.jpg,Grey silk 'Nova check' pointed tip tie from Burberry.,farfetch.com,unknown,_silk,False
58,465067969,133.94,Burberry London pip pattern tie,870,Burberry,http://bim.shopstyle.com/pim/21/28/212892b6ea645a27a57d702a14cbcac7_best.jpg,Grey silk pip pattern tie from Burberry London.,farfetch.com,unknown,_silk,False
59,451035463,161.0,Alexander McQueen Polka-dot silk tie,689,Alexander McQueen,http://bim.shopstyle.com/pim/17/72/177276fa87356e92229ffd071167ffa5_best.jpg,"<ul><li>Blue and white, polka-dot jacquard, silk</li><li>Small red jacquard skull</li><li>100% silk.</li><li>Dry clean</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
60,461445763,230.0,"Brioni Woven Micro Basket Dot Tie, Red/Blue",859,Brioni,http://bim.shopstyle.com/pim/18/f9/18f90030dcfb28e0122601a30ab63647_best.jpg,"<ul><li>Brioni red and blue silk tie with micro basket dot pattern.</li><li>Approx. 3""W.</li><li>Made in Italy. </li></ul>",Neiman Marcus,unknown,_silk,False
62,424378959,200.0,GG pattern tie.,1242,Gucci,http://bim.shopstyle.com/pim/71/89/718903d184ac4efa4a15a27fcc967d38_best.jpg,"<ul> <li>black with black GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
63,170153664,55.0,English silk bow tie in pindot,284,J.Crew,http://bim.shopstyle.com/pim/30/47/30471a7b5e938a148b0ab96aa19cd6da_best.jpg,"A bow tie is a classic way to set yourself apart from the crowd. Plus, it won't dangle in your soup. This one made from English silk sports a classic dot (aka the outlandish print for super-conservative guys). <ul> <li>2 1/8"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>",J.Crew,_print,_silk,False
66,253510404,165.0,Burberry London 'Regent' Woven Silk Tie,870,Burberry,http://bim.shopstyle.com/pim/e4/8e/e48e1f66b2b59b4813d099abca63db11_best.jpg,"A modern check design patterns an Italian-crafted tie. <ul> <li>3 1/2"" width; 57 1/2"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Burberry London; made in Italy.</li> <li>Men's Furnishings.</li> </ul>",Nordstrom,unknown,_silk,False
67,454988084,165.0,Burberry London 'Eaton' Woven Silk Tie,870,Burberry,http://bim.shopstyle.com/pim/f6/e5/f6e538244a99cfc69b9659b07b0b7ab3_best.jpg,"Tonal, signature checks mark a clean-cut tie shaped from pure silk. <ul> <li>3 1/4"" width; 57 1/4"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Burberry London; made in England.</li> <li>Men's Designer.</li> </ul>",Nordstrom,unknown,_silk,False
68,442435687,165.0,Burberry London Woven Silk Tie,870,Burberry,http://bim.shopstyle.com/pim/d0/b4/d0b4042f545309956bb78a9b63dea19a_best.jpg,"Textured checks pattern a sharp tie crafted in England from pure silk. <ul> <li>3 1/4"" width; 57 3/4"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Burberry; made in England.</li> <li>Men's Designer.</li> </ul>",Nordstrom,unknown,_silk,False
69,462488535,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/41/15/411582cc0e1e1685e4adc05adae291c5_best.jpg,Men's orange Hermès silk printed necktie.,TheRealReal,_print,_silk,False
70,461789613,75.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/3c/9f/3c9ffcd92a6004671539ac2f588bbd6d_best.jpg,Men's burgundy and multicolor Hermès silk printed tie with logo at end.,TheRealReal,_print,_silk,False
71,461789626,75.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/b0/c3/b0c37d4af31d6ed3cd9970f8aff33ffe_best.jpg,Men's red and multicolor Hermès silk tie with night owl motif and logo at end.,TheRealReal,unknown,_silk,False
