GG horsebit pattern silk twill tie,"<ul> <li>blue and light blue</li> <li>100% silk</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>dark grey and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>red and grey</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Habutai Silk Bow Tie,<ul> <li>midnight blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
Striped Woven Silk Tie,"<ul> <li>dark brown and pink</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>bordeaux and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Silk Twill Tie,"<ul> <li>sapphire and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Spur Patterned Woven Silk Tie,"<ul> <li>bordeaux and red</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Striped Woven Silk Tie,"<ul> <li>black and dark brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
GG pattern silk jacquard tie,"<ul> <li>website exclusive</li> <li>pink and beige</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Gucci Tie,"Men's crimson, navy and sky blue Gucci silk necktie with geometric print throughout."
Gucci Tie,Men's grey and navy Gucci silk necktie with geometric print throughout.
Gucci Tie,"Men's burgundy, red and orange Gucci silk necktie with geometric print throughout."
Gucci Tie,"Men's beige, green and brick Gucci silk printed tie."
Gucci dogtooth tie,Black and white silk dogtooth tie from Gucci featuring a pointed tip.
Gucci classic tie,Grey silk classic tie from Gucci featuring a branded rear patch and an embroidered logo to the rear.
Gucci classic tie,Navy silk classic tie from Gucci featuring a pointed tip.
Gucci Small-GG jacquard silk tie,"<ul><li>Black, dark-grey and light-grey GG-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci Horsebit-jacquard silk tie,"<ul><li>Navy, burgundy and silver-grey horsebit-jacquard, silk</li><li>Navy GG jacquard lining </li><li>100% silk</li><li>Dry clean</li><li>Country of origin: Italy</li></ul>"
Gucci Horsebit-jacquard silk tie,"<ul><li>Forest-green, dark-brown and champagne-beige horsebit jacquard, silk</li><li>Dark-brown GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci Retro silk tie,"<ul><li>Khaki-brown and black geometric jacquard, silk</li><li>Silver-grey jacquard pin-dots</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci Micro-weave jacquard silk tie,"<ul><li>Navy and dark-greyjacquard, silk</li><li>Navy GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci Retro silk tie,"<ul><li>Silver-grey and navy geometric-jacquard, silk</li><li>Red jacquard pin-dots</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Gucci Wool and silk-blend bow tie,"<ul><li>Black, wool and silk-blend</li><li>Adjustable hook fastening</li><li>68% wool, 32% silk</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>"
Striped Woven Silk Tie,"<ul> <li>red and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>olive green</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Striped Silk Twill Bow Tie,<ul> <li>dark blue and red</li> <li>100% silk</li> <li>Made in Italy</li> </ul>
GG patterned silk twill tie,"<ul> <li>navy and beige</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Solid Tie.,"<ul> <li>website exclusive</li> <li>white</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
